order_id,order_date,customer_id,product,category,channel,region,units,revenue,cost,refund_amount
1001,2024-01-05,C001,Widget A,Electronics,Online,North,3,299.97,180.00,0.00
1002,2024-01-08,C002,Widget B,Electronics,Retail,South,1,149.99,105.00,0.00
1003,2024-01-12,C003,Gadget X,Accessories,Online,East,5,124.95,62.50,24.99
1004,2024-02-03,C001,Gadget Y,Accessories,Online,North,2,69.98,40.00,0.00
1005,2024-02-10,C004,Widget A,Electronics,Partner,West,4,399.96,240.00,99.99
1006,2024-02-18,C005,Widget B,Electronics,Online,East,2,299.98,210.00,0.00
1007,2024-03-02,C002,Gadget X,Accessories,Retail,South,8,199.92,100.00,0.00
1008,2024-03-15,C006,Widget A,Electronics,Online,West,5,499.95,300.00,0.00
1009,2024-04-04,C003,Gadget Y,Accessories,Partner,East,6,209.94,120.00,69.98
1010,2024-04-19,C007,Widget B,Electronics,Online,North,3,449.97,315.00,0.00
1011,2024-05-07,C004,Widget A,Electronics,Retail,West,2,199.98,120.00,0.00
1012,2024-05-23,C008,Gadget X,Accessories,Online,South,10,249.90,125.00,49.98
1013,2024-06-01,C005,Gadget Y,Accessories,Online,East,7,244.93,140.00,0.00
1014,2024-06-11,C006,Widget B,Electronics,Partner,West,4,599.96,420.00,149.99
1015,2024-06-25,C008,Widget A,Electronics,Online,South,6,599.94,360.00,0.00
